Location,Name,URL
Afghanistan,Kabuli Palaw,http://afghankitchenrecipes.blogspot.com/2013/01/kabuli-palaw.html
Albania,Tavë kosi,https://suite.io/cristina-pinton/4vtv23f
Algeria,Couscous,http://www.culinarycoutureblog.com/2011/12/algerian-couscous-with-vegetables.html
American Samoa,Luau Palusami,http://www.food.com/recipe/luau-palusami-american-samoa-499887
Andorra,Escudella,http://www.roastedmontreal.com/2010/11/andorras-national-dish-escudella.html
Angola,Muamba de galinha,http://wherethefoodis.wordpress.com/2011/10/02/angola-%E2%9D%80-muamba-de-galinha-chicken-stew-with-palm-oil/
Antigua and Barbuda,Pepperpot and fungee,http://caribbean-beat.com/issue-122/erna-mae-tonge-recipe-magic#axzz3JC70pJ3T
Argentina,Asado,http://www.instructables.com/id/Asado-Argentino-Argentinian-BBQ/
Armenia,Harissa,http://wherethefoodis.wordpress.com/2011/10/16/armenia-%E2%9D%80-harissa-chicken-porridge-and-lavash-bread/
Aruba,Keshi yena,http://tastydesu.wordpress.com/2011/09/12/keshi-yena/
Australia,Roast Lamb,http://australianfood.about.com/od/meats/r/LambRoast.htm
Austria,Tafelspitz,http://cooking.nytimes.com/recipes/10931-tafelspitz-austrian-boiled-beef-with-apple-horseradish
Azerbaijan,Dolma,http://www.azcookbook.com/2008/01/16/stuffed-grape-leaves/
Bahamas,Conch,http://recipes.sparkpeople.com/recipe-detail.asp?recipe=10025
Bahrain,Bahrain,http://www.daringgourmet.com/2013/03/25/chicken-machboos-bahraini-chicken-rice/
Bangladesh,Egg Biryani,http://myhungrytum.wordpress.com/2010/02/01/egg-biryani-%E2%80%93-bangladesh-national-dish-%E2%80%93-day-26dish/
Barbados,Flying Fish and Cou-Cou,http://parlourmagazine.com/2012/09/flying-fish-and-cou-cou-barbados-national-dish/
Belarus,Draniki,http://www.belarusianfood.com/2009/05/draniki.html
Belgium,Moules Frites,http://www.bloggingoverthyme.com/2012/11/27/classic-moules-frites/
Belize,Boil Up,http://belizemomsknowbest.blogspot.com/2012/03/belizean-boil-up-or-should-i-say.html
Benin,Kuli Kuli,http://myhungrytum.wordpress.com/2010/02/09/kuli-kuli-%E2%80%93-benin-national-dish-%E2%80%93-day-34dish-18/
Bermuda,Bermuda fish chowder,http://whatscookingamerica.net/History/Chowder/BermudaFishChowder.htm
Bhutan,Ema datshi,http://www.myfudo.com/tastily-touring-visiting-bhutan-a-ema-dashi-recipe-hot-and-spicy/
Bolivia,Salteñas,http://dulceandsalado.com/2013/01/03/saltenas/
Bosnia and Herzegovina,ćevapi,http://www.seriouseats.com/recipes/2013/09/grilling-cevapi-southeastern-european-meat-and-onion-sausages-recipe.html
Botswana,Seswaa,http://www.theguardian.com/world/2012/oct/29/food-and-drink-africa
Brazil,Feijoada,http://www.smithsonianmag.com/arts-culture/Celebrate-Brazil-with-Emerils-Feijoada-180951699/?no-ist
Brunei Darussalam,Ambuyat,http://cookedearthblog.com/2012/05/09/nation-of-brunei-abode-of-peace/
Bulgaria,Kavarma,http://sharemykitchen.com/recipes/traditional-bulgarian-recipes/traditional-bulgarian-main-courses/kavarma-bulgarian-pork-and-vegetables-stew/
Burkina Faso,Riz Gras,http://travelbystove.blogspot.com/2012/07/recipes-from-burkina-faso.html#.VGgTnZOUeQw
Burundi,Elephant Soup,http://www.nationaldish.org/403/burundi-national-dish/
Cambodia,Amok,http://www.fairlycambodian.com/may-amok-recipe/
Cameroon,Ndolé,http://www.wander-crush.com/2013/11/21/ndole/
Canada,Poutine,http://www.seasonsandsuppers.ca/authentic-canadian-poutine-recipe/
Cabo Verde,Cachupa,http://www.mistress-of-spices.net/2011/03/cachupa-national-dish-of-cape-verde.html
Cayman Islands,Buccaneer Turtle Steak,http://www.recipeisland.com/blog/cayman-islands-national-dish-recipe/
Central African Republic,Fufu – Stiff porridge,http://www.nationaldish.org/419/central-african-republic-national-dish/
Chad,Peanut and Squash Stew,http://www.recipeisland.com/blog/chad-national-dish-2/
Channel Islands,Rosemary roasted Jersey Royals,http://www.jamieoliver.com/recipes/vegetables-recipes/rosemary-roasted-jersey-royals/
Chile,Curanto,http://www.wikihow.com/Make-Araucan-Curanto-(Barbeque)
China,Peking Duck,http://www.seriouseats.com/2010/09/the-food-lab-how-to-make-peking-duck-at-home.html
Colombia,Bandeja Paisa,http://www.mycolombianrecipes.com/paisa-tray-bandeja-paisa
Comoros,Lobster in vanilla sauce,http://internationalcookingproject.blogspot.com/2011/06/comoros.html
Congo Dem. Rep.,Moambe,http://denvergreenchili.com/recipes/main-courses/chicken/congo-chicken-moambe/
Congo Rep.,Moambe,http://denvergreenchili.com/recipes/main-courses/chicken/congo-chicken-moambe/
Costa Rica,Gallo pinto,http://www.seriouseats.com/recipes/2012/05/gallopinto-nicaraguan-rice-and-beans-recipe.html
Cote d'Ivoire,Alloco,http://www.wikihow.com/Make-Alloco
Croatia,Jota and Strukli,http://www.roastedmontreal.com/2011/01/croatias-national-dish-jota-and-strukli.html
Cuba,Ropa Vieja,http://www.saveur.com/article/Recipes/Cuban-Style-Ropa-Vieja
Curacao,Keshi Yena,http://curacaochronicle.com/social/curacao-national-dish-and-recipe/
Cyprus,Fasolada,http://www.mygreekdish.com/recipe/traditional-greek-bean-soup-recipe-fasolada/
Czech Republic,Vepro-Knedlo-Zelo,http://www.tofoodwithlove.com/2013/05/vepro-knedlo-zelo-czech-roast-pork-with.html
Denmark,"Frikadeller med kartofler, rødkål og brun sovs",http://www.roastedmontreal.com/2011/05/denmarks-national-dish-meatballs-potatoes-red-cabbage-and-brown-sauce-frikadeller-med-kartofler-rodkal-og-brun-sovs.html
Djibouti,Skoudekharis,http://www.weblogtheworld.com/countries/africa-africa/skoudekharis-djiboutis-national-dish/
Dominica,Callaloo,http://thedomesticman.com/2014/02/25/callaloo-caribbean-green-soup/
Dominican Republic,Sancocho,http://nbclatino.com/2013/02/05/how-to-make-sancocho/
Ecuador,Ceviche,http://southamericanfood.about.com/od/appetizersfirstcourses/r/ecuadorceviche.htm
Egypt Arab Rep.,Koshari,http://www.daringgourmet.com/2013/02/21/koshari-national-dish-of-egypt/
El Salvador,Pupusa,http://www.whats4eats.com/breads/pupusas-recipe
Equatorial Guinea,Succotash,http://tallman.info/word/2013/10/succotash-equatorial-guinea/
Eritrea,Zigni and Injera,http://www.196flavors.com/2013/12/29/eritrea-zigni-and-injera/
Estonia,Verivorst,http://internationalcookingproject.blogspot.com/2013/06/estonia_24.html
Ethiopia,Doro Wot,http://www.cookingchanneltv.com/recipes/doro-wot-ethiopian-national-chicken-dish.html
Faeroe Islands,Skerpikjøt,http://mitziemeeblog.com/blog/2013/07/25/skerpikjot/
Fiji,Kokoda,http://www.lifestylefood.com.au/recipes/16530/kokoda
Finland,Karjalanpiirakka,http://cakecrumbsbeachsand.com/2011/07/karjalanpiirakka-finnish-karelian-pies/
France,Pot-au-Feu,http://www.marthastewart.com/341930/pot-au-feu
French Polynesia,Poisson cru,http://blog.tahiti.com/2012/05/24/making-poisson-cru/
Gabon,Poulet Nyembwe,http://www.196flavors.com/2012/12/09/gabon-nyembwe-chicken/
Gambia The,Domoda,http://www.daringgourmet.com/2013/03/02/domoda-gambian-peanut-stew/
Georgia,Khachapuri,http://www.saveur.com/article/Recipes/Acharuli-Khachapuri-Cheese-and-Egg-Bread
Germany,Sauerbraten,http://www.saveur.com/article/Recipes/Classic-Sauerbraten
Ghana,Fufu,https://africanfoodie.wordpress.com/2012/07/27/fufu-light-soup/
Greece,Moussaka,http://greek.food.com/recipe/kittencals-greek-moussaka-88804
Greenland,Suaasat,http://greenlandtoday.com/gb/category/suaasat-soup-706/
Grenada,Oil Down,http://www.meatlovessalt.com/2014/02/grenadas-national-dish-oil-down/
Guam,Chicken Kelaguen,http://www.annieschamorrokitchen.com/chicken-kelaguen-flour-titiyas/
Guatemala,Fiambre,http://www.saveur.com/article/Recipes/Fiambre-Guatemalan-Salad
Guinea,Kansiyé,http://www.food.com/recipe/kansiy-traditional-recipe-from-guinea-west-africa-310432
Guinea-Bissau,Jollof Rice,http://www.whats4eats.com/poultry/jollof-rice-recipe
Guyana,Pepperpot,http://metemgee.com/2013/12/23/pepperpot-a-traditional-guyanese-christmas-breakfast/
Haiti,Griots,http://www.whats4eats.com/meats/griots-recipe
Honduras,Plato Tipico,http://latinaish.com/tag/salvadoran-recipes/
Hong Kong SAR China,Dim Sun,http://www.seriouseats.com/2011/04/guide-to-dim-sum-dumplings-siu-mai-bao-chinese-steamed-buns.html
Hungary,Goulash,http://www.daringgourmet.com/2014/03/18/traditional-hungarian-goulash-gulyas/
Iceland,Hangikjöt,http://www.wellhungfood.com/smoking/hangikjot-recipe-icelandic-christmas-lamb
India,Mani Puri,http://www.vegrecipesofindia.com/pani-puri-recipe-mumbai-pani-puri-recipe/
Indonesia,Nasi Goreng,http://www.daringgourmet.com/2013/06/14/nasi-goreng-indonesian-fried-rice/
Iran Islamic Rep.,Chelow Kabab,http://www.iranreview.org/content/Documents/Chelo-Kabab-The-National-Dish-of-Iran.htm
Iraq,Masqouf,http://www.mideastchef.com/middle-eastern-and-chaldean-recipes-blog/masgouf-fish-topped-with-a-tomato-and-curry-sauce
Ireland,Irish Stew,http://britishfood.about.com/od/recipeindex/r/irishstew.htm
Isle of Man,Kippers,http://en.wikibooks.org/wiki/Cookbook:Manx_Smoked_Salmon
Israel,Falafel,http://toriavey.com/toris-kitchen/2011/01/falafel/
Italy,Pasta Puttanesca,http://thepioneerwoman.com/cooking/2012/02/pasta-puttanesca/
Jamaica,Ackee and Saltfish,http://caribbeanpot.com/the-ultimate-ackee-and-saltfish-recipe/
Japan,Ramen,http://www.instructables.com/id/How-to-make-REAL-Japanese-ramen-from-scratch/?ALLSTEPS
Jordan,Mansaf,http://www.dimasharif.com/2011/08/jordanian-mansaf-more-than-just-food-it.html
Kazakhstan,Besbarmak,http://www.pinchofcinnamon.com/2012/09/home-made-kazakh-dinner-and-beshbarmak.html
Kenya,Sukuma wiki,http://www.thekitchn.com/recipe-sukuma-wiki-braised-kale-with-tomatoes-recipes-from-the-kitchn--176045
Kiribati,Te bua toro ni baukin,http://foodsoftheworld-emmajackson.blogspot.com/2014/10/kiribati-te-bua-toro-ni-baukin.html
Korea Dem. Rep.,Naengmyeon ,http://www.beyondkimchee.com/naengmyeon/
Korea Rep.,Kimchi,http://steamykitchen.com/16043-how-to-make-kimchi-recipe.html
Kosovo,Flia,http://anoregoncottage.com/making-flia-a-national-dish-of-kosovo/
Kuwait,Machboos,http://allrecipes.co.uk/recipe/26911/machboos.aspx
Kyrgyz Republic,Beshbarmak,http://talerka.tv/recept/kazakhstan/beshbarmak
Lao PDR,Tum Mak Hoong,http://padaek.com/make-tum-mark-hoong-lao-spicy-green-papaya-salad-recipe/
Latvia,Grey Peas and Bacon,http://www.roastedmontreal.com/2011/03/latvias-national-dish-grey-peas-and-bacon.html
Lebanon,Kibbeh,http://www.foodrepublic.com/2014/03/13/lebanese-kibbeh-lemon-tahini-recipe
Lesotho,"Papa, moroho, nama",http://www.recipeisland.com/blog/lesotho-national-dish/
Liberia,Fufu,http://www.thegutsygourmet.net/natl-liberia.html
Libya,Cuscus bil-Bosla,http://eatplanet.blogspot.com/2010/04/libya-cuscus-bil-bosla.html
Liechtenstein,Käsknöpfle,http://globaltableadventure.com/2012/01/07/recipe-triple-cheesy-pasta-with-sweet-onion-kasknopfle/
Lithuania,Cepelinai,http://www.instructables.com/id/Cepelinai-Lithuanian-stuffed-potato-dumplings/
Luxembourg,Judd mat Gaardebounen,http://www.chaoticcompendiums.com/2013/01/lets-talk-about-judd-mat-gaardebounen.html
Macao SAR China,Minchee,http://www.salon.com/2011/03/22/minchee_macau_meat_hash/
Macedonia FYR,Tavče gravče,http://www.sarahmelamed.com/2011/12/white-beans-more-popular-than-white-bread/
Madagascar,Romazava,http://cooksrecipes.info/african-recipes/romazava-recipe.htm
Malawi,Nsima,http://recipes.wikia.com/wiki/Nsima
Malaysia,Nasi Lemak,http://myhalalkitchen.com/nasi-lemak-and-sambal-ikan-bilis-coconut-milk-rice-and-sambal-anchovies/
Maldives,Garudhiya,http://nadiyas-tastesofmaldives.blogspot.com/2011/10/garudiya-fish-soup.html
Mali,To and Tokorodji,http://www.recipeisland.com/blog/mali-national-dish/
Malta,Pastizzi,http://www.ivillage.com/pastizzi-tar-rikotta/3-r-63624
Marshall Islands,Macadamia nut pie,http://www.recipeisland.com/blog/marshall-islands-national-dish-2/
Mauritania,Thieboudiene,http://www.thekitchn.com/5-dishes-from-mauritania-122092
Mauritius,Cari Ourite,http://ile-maurice.tripod.com/cariourite.htm
Mexico,Chiles en nogada,http://www.raisinandfig.com/chiles-en-nogada/
Micronesia Fed. Sts.,Lumpia,http://tallman.info/word/2013/11/lumpi-micronesia/
Moldova,Mămăligă ,http://easteuropeanfood.about.com/od/starches/r/mamaliga.htm
Monaco,Barbagiuan,http://www.roastedmontreal.com/2010/11/monacos-national-dish-barbagiuan-barbajuan-and-socca.html
Mongolia,Buuz,http://allthatcooking.com/2013/05/11/buuz-mongolian-dumplings/
Montenegro,Brav u Mlijeku,http://fricoteurope.wordpress.com/2014/11/11/food-connections-montenegro-wales/
Morocco,Couscous,http://allrecipes.com/recipe/moroccan-couscous/
Mozambique,Peri-Peri prawns,http://ourfamilyfoodadventures.com/2012/04/28/heating-things-up/
Myanmar,Mohinga,http://www.theguardian.com/lifeandstyle/2012/feb/24/burmese-mohinga-soup-recipe
Namibia,Süßer Hirsebrei,http://www.celtnet.org.uk/recipes/miscellaneous/fetch-recipe.php?rid=misc-susser-hirsebrei
Nepal,Dal bhat,http://www.blueapron.com/recipes/dal-bhat
Netherlands,Stamppot,http://www.eatingamsterdamtours.com/blog/stamppot-recipe/
New Caledonia,Kanak bougna,http://www.qooq.com/en/recipes/Bougna.html
New Zealand,Roast Lamb,http://www.radionz.co.nz/collections/recipes/slow-roasted-leg-of-lamb
Nicaragua,Gallo Pinto,http://www.seriouseats.com/recipes/2012/05/gallopinto-nicaraguan-rice-and-beans-recipe.html
Niger,Couscous,http://www.celtnet.org.uk/recipes/miscellaneous/fetch-recipe.php?rid=misc-couscous-nigerienne
Nigeria,Jellof Rice,http://www.africanfoods.co.uk/nigerian-food.html
Northern Mariana Islands,Hineska' Agaga,http://www.saveur.com/article/Recipes/Guam-Chicken-Red-Rice
Norway,Fårikål,http://arcticgrub.wordpress.com/2013/01/10/farikal-a-classic-dish-designed-for-easy-entertaining/
Oman,Maqbous,http://www.agefotostock.com/en/Stock-Images/Rights-Managed/E12-1172704
Pakistan,Nahari,http://cooks.ndtv.com/recipe/show/nihari-gosht-100549
Palau,Tama,http://palauanrecipes.blogspot.com/2009/02/tama-recipe.html
Panama,Sancocho de gallina,http://www.food.com/recipe/panamanian-sancocho-215671
Papua New Guinea,Mumu,http://www.creativeworldofvarya.com/cooking-series-how-to-make-papua-new-guinean-mumu/
Paraguay,Sopa paraguaya,http://southamericanfood.about.com/od/breads/r/sopaparaguaya.htm
Peru,Ceviche,http://laylita.com/recipes/2013/07/01/peruvian-fish-cebiche-or-ceviche/
Philippines,Chicken Adobo,http://www.panningtheglobe.com/2014/03/14/chicken-adobo-philippines/
Poland,Bigos,http://www.thekitchn.com/winter-recipe-bigos-stew-recipes-from-the-kitchn-197927
Portugal,Bacalhau,http://allrecipes.com/recipe/marias-portuguese-bacalau/
Puerto Rico, Arroz con gandules,http://www.saveur.com/article/Recipes/Arroz-con-Gandules-Rice-and-Pigeon-Peas
Qatar,Harees,http://maryamsculinarywonders.blogspot.com/2012/08/148-qatari-meat-harees.html
Romania,Sarmale,http://www.jocooks.com/main-courses/pork-main-courses/sarmale/
Russian Federation,Pelmeni,http://natashaskitchen.com/2011/05/09/russian-pelmeni-recipe-new-dough-recipe/
Rwanda,Ugali,http://www.whats4eats.com/grains/ugali-recipe
Samoa,Palusami Lu'au,http://samoandelicacies.blogspot.com/2011/11/coconut-milk-in-taro-leaf-luaupalusami.html
San Marino,Torta Tre Monti,http://inmamamaggieskitchen.com/torta-tre-monti/
Sao Tome and Principe,Calulu,http://www.celtnet.org.uk/recipes/miscellaneous/fetch-recipe.php?rid=misc-sao-tomean-calulu
Saudi Arabia,Kabsa,http://www.recipesaresimple.com/kabsa-recipe-arabian-chicken-fragrant-rice/
Senegal,Thieboudienne,http://www.saveur.com/article/Recipes/Senegal-Fish-Rice
Serbia,Pljeskavica,http://easteuropeanfood.about.com/od/croatianserbmaincourses/r/pljeskavica.htm
Seychelles,Fruit bat soup,http://www.recipeisland.com/blog/seychelles-national-dish/
Sierra Leone,Groundnut stew,http://www.foodandwine.com/recipes/groundnut-stew
Singapore,Hainanese Chicken Rice,http://steamykitchen.com/5068-hainanese-chicken-rice.html
Sint Maarten (Dutch part),Conch & Dumpling soup,http://nisbetplantation.com/blog/island-conch-and-dumpling-soup-recipe/
Slovak Republic,Bryndzové halušky,http://www.brokeandhealthy.com/bryndzove-halusky-recipe-slovak-potato-dumplings-with-bacon-and-cheese#
Slovenia,Obara,http://www.vegeta.com/recipes/chicken-obara/
Solomon Islands,Poi,http://www.foodnetwork.com/recipes/poi-recipe.html
Somalia,Soor,http://www.somalikitchen.com/polenta-african-style-soor.html/#more-886
South Africa,Bobotie,http://www.daringgourmet.com/2013/08/09/bobotie-south-african-meatloaf-casserole/
South Sudan,Fuul,http://www.runawayguide.com/runawaysblog/number-1-food-in-sudan-foul/
Spain,Paella,http://www.foodnetwork.com/recipes/tyler-florence/the-ultimate-paella-recipe.html
Sri Lanka,Curry,http://www.sbs.com.au/food/recipes/chicken-curry
St. Kitts and Nevis,Stewed saltfish,http://cmvlive.com/local-news/st-kitts-and-nevis-national-dish-recipe
St. Lucia,Green Fig And Saltfish,http://www.thecocomagazine.com/eats/green-fig-and-saltfish-st-lucias-national-dish/249
St. Martin (French part),Callaloo soup,http://cookingwithmichele.com/2012/02/a-taste-of-the-caribbean-callaloo-soup/
St. Vincent and the Grenadines,Roasted Breadfruit & Fried Jackfish,http://stvincentyp.com/discover-stvincent-grenadines/national-symbols/roasted-breadfruit-and-fried-jack-fish-recipe/
Sudan,Fuul,http://www.runawayguide.com/runawaysblog/number-1-food-in-sudan-foul/
Suriname,Chicken and Rice,http://gosouthamerica.about.com/library/blsur3.htm
Swaziland,Impala,http://www.celtnet.org.uk/recipes/miscellaneous/fetch-recipe.php?rid=misc-impala
Sweden,Swedish meatballs,http://www.roastedmontreal.com/2011/05/swedens-national-dish-meatballs.html
Switzerland,Rösti,http://www.saveur.com/article/Recipes/Rosti
Syrian Arab Republic,Kibbeh,http://www.sbs.com.au/food/recipes/kibbeh-bil-sanieh
Tajikistan,O'sh,https://plus.google.com/107346167256278601901/posts/hfUX1ZgRd9g
Tanzania,Ugali,http://www.wikihow.com/Cook-Ugali
Thailand,Pad Thai,http://www.thaitable.com/thai/recipe/pad-thai
Timor-Leste,Batar Da'an,http://www.196flavors.com/2014/05/05/east-timor-batar-daan/
Togo,Akume,http://ngoziskitchen.com/default.asp?act=recipe&rid=4800
Tonga,Usi bololokoma,http://www.recipeisland.com/blog/tonga-national-dish/
Trinidad and Tobago,Palau,http://recipes.sparkpeople.com/recipe-detail.asp?recipe=352524
Tunisia,Couscous,http://www.food.com/recipe/authentic-tunisian-couscous-au-poulet-148401
Turkey,Kebab,http://www.seriouseats.com/2014/08/the-food-lab-how-to-make-turkish-adana-kebabs.html
Turkmenistan,Palaw,http://www.turkmenkitchen.com/en/turkmen-pilaf/
Turks and Caicos Islands,Peas & Hominy,http://recipes.sparkpeople.com/recipe-detail.asp?recipe=977028
Tuvalu,Pulaka,http://www.recipeisland.com/blog/tuvalu-national-dish/
Uganda,Matoke,http://www.whats4eats.com/soups/matoke-recipe
Ukraine,Broscht,http://natashaskitchen.com/2014/02/08/borscht-recipe-with-meat/
United Arab Emirates,Mandi,http://tanzifsrecipenotebook.blogspot.jp/2012/02/mandi-chicken-with-bhukhari-rice.html
United Kingdom,Fish and Chips,http://britishfood.about.com/od/adrecipes/r/Best-Fish-And-Chips-Recipe.htm
United States,Hamburger,http://www.foodnetwork.com/recipes/bobby-flay/perfect-burger-recipe.html
Uruguay,Chivito,http://www.spoonforkbacon.com/2012/07/chivito-steak-sandwich/
Uzbekistan,O'sh,https://plus.google.com/107346167256278601901/posts/hfUX1ZgRd9g
Vanuatu,Lap lap,http://realpasifik.com/recipe-make-at-home-chicken-lap-lap/
Venezuela,Pabellón criollo,http://venezuelancooking.wordpress.com/2011/12/14/recipe-pabellon-criollo/
Vietnam,Phở,http://steamykitchen.com/271-vietnamese-beef-noodle-soup-pho.html
Virgin Islands (U.S.),Fish and fungee,http://www.food.com/recipe/fish-and-fungi-virgin-islands-style-287080
West Bank and Gaza,Maqluba,http://www.seriouseats.com/recipes/2013/10/recipe-vegetarian-maqluba.html
Yemen Rep.,Saltah,http://learningabouttheworld.blogspot.com/2011/08/yemen-how-i-made-saltah.html
Zambia,Nshima,http://people.bridgewater.edu/~mtembo/menu/nshima/nshima.shtml
Zimbabwe,Sadza,http://www.zimbokitchen.com/how-to-make-plain-sadza/
